"模块名","显示名称","描述","驱动程序类型","启动模式","状态","状态","接受停止","接受暂停","分页缓冲池(字节)","代码(字节)","BSS(字节)","链接日期","路径","Init(字节)"
"IpFilterDriver","IP 流量筛选器驱动程序","IP 流量筛选器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","61,440","0","","C:\Windows\system32\DRIVERS\ipfltdrv.sys","4,096"
"IPMIDRV","IPMIDRV","IPMIDRV","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","49,152","0","","C:\Windows\system32\drivers\IPMIDrv.sys","4,096"
"IPNAT","IP Network Address Translator","IP Network Address Translator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","184,320","0","","C:\Windows\system32\drivers\ipnat.sys","4,096"
"IPT","IPT","IPT","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","8,192","0","","C:\Windows\system32\drivers\ipt.sys","4,096"
"isapnp","isapnp","isapnp","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\isapnp.sys","4,096"
"iScsiPrt","iScsiPort 驱动程序","iScsiPort 驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","53,248","196,608","0","","C:\Windows\system32\drivers\msiscsi.sys","4,096"
"ItSas35i","ItSas35i","ItSas35i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","147,456","0","2019/6/20 15:35:34","C:\Windows\system32\drivers\ItSas35i.sys","4,096"
"kbdclass","Keyboard Class Driver","Keyboard Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","28,672","0","","C:\Windows\system32\drivers\kbdclass.sys","4,096"
"kbdhid","Keyboard HID Driver","Keyboard HID Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","24,576","0","","C:\Windows\system32\drivers\kbdhid.sys","4,096"
"kbldfltr","kbldfltr","kbldfltr","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\kbldfltr.sys","4,096"
"kdnic","Microsoft 内核调试网络微型端口(NDIS 6.20)","Microsoft 内核调试网络微型端口(NDIS 6.20)","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\kdnic.sys","4,096"
"KSecDD","KSecDD","KSecDD","Kernel ","Boot","Running","OK","TRUE","FALSE","40,960","61,440","0","","C:\Windows\system32\Drivers\ksecdd.sys","4,096"
"KSecPkg","KSecPkg","KSecPkg","Kernel ","Boot","Running","OK","TRUE","FALSE","73,728","57,344","0","","C:\Windows\system32\Drivers\ksecpkg.sys","4,096"
"KslD","KslD","KslD","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","53,248","0","","C:\Windows\system32\drivers\wd\KslD.sys","8,192"
"ksthunk","Kernel Streaming Thunks","Kernel Streaming Thunks","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","16,384","0","","C:\Windows\system32\drivers\ksthunk.sys","4,096"
"lltdio","链路层拓扑发现映射器 I/O 驱动程序","链路层拓扑发现映射器 I/O 驱动程序","Kernel ","Auto","Running","OK","TRUE","FALSE","8,192","40,960","0","","C:\Windows\system32\drivers\lltdio.sys","8,192"
"LSI_SAS","LSI_SAS","LSI_SAS","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","90,112","0","2015/3/26 3:36:48","C:\Windows\system32\drivers\lsi_sas.sys","4,096"
"LSI_SAS2i","LSI_SAS2i","LSI_SAS2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","98,304","0","2017/8/2 21:29:59","C:\Windows\system32\drivers\lsi_sas2i.sys","4,096"
"LSI_SAS3i","LSI_SAS3i","LSI_SAS3i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","110,592","0","2019/4/4 14:54:35","C:\Windows\system32\drivers\lsi_sas3i.sys","4,096"
"LSI_SSS","LSI_SSS","LSI_SSS","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","65,536","0","2013/3/16 7:39:38","C:\Windows\system32\drivers\lsi_sss.sys","4,096"
"luafv","UAC File Virtualization","UAC File Virtualization","File System ","Auto","Running","OK","TRUE","FALSE","69,632","8,192","0","","C:\Windows\system32\drivers\luafv.sys","12,288"
"mausbhost","MA-USB 主机控制器驱动程序","MA-USB 主机控制器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","319,488","0","","C:\Windows\system32\drivers\mausbhost.sys","4,096"
"mausbip","MA-USB IP 筛选器驱动程序","MA-USB IP 筛选器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","36,864","0","","C:\Windows\system32\drivers\mausbip.sys","4,096"
"MbbCx","MBB Network Adapter Class Extension","MBB Network Adapter Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","241,664","0","","C:\Windows\system32\drivers\MbbCx.sys","4,096"
"megasas","megasas","megasas","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","40,960","0","2015/3/5 10:36:29","C:\Windows\system32\drivers\megasas.sys","4,096"
"megasas2i","megasas2i","megasas2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","61,440","0","2019/4/4 21:28:53","C:\Windows\system32\drivers\MegaSas2i.sys","4,096"
"megasas35i","megasas35i","megasas35i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","81,920","0","2019/6/20 18:01:12","C:\Windows\system32\drivers\megasas35i.sys","4,096"
"megasr","megasr","megasr","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","434,176","0","2013/6/4 6:02:39","C:\Windows\system32\drivers\megasr.sys","4,096"
"Microsoft_Bluetooth_AvrcpTransport","Microsoft 蓝牙 AVRCP 传输驱动程序","Microsoft 蓝牙 AVRCP 传输驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","28,672","0","","C:\Windows\system32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys","4,096"
"mlx4_bus","Mellanox ConnectX 总线枚举器","Mellanox ConnectX 总线枚举器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","880,640","0","2019/6/19 21:21:08","C:\Windows\system32\drivers\mlx4_bus.sys","8,192"
"MMCSS","Multimedia Class Scheduler","Multimedia Class Scheduler","Kernel ","Auto","Running","OK","TRUE","FALSE","12,288","16,384","0","","C:\Windows\system32\drivers\mmcss.sys","8,192"
"Modem","Modem","Modem","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","4,096","0","","C:\Windows\system32\drivers\modem.sys","4,096"
"monitor","Microsoft Monitor Class Function Driver Service","Microsoft Monitor Class Function Driver Service","Kernel ","Manual","Running","OK","TRUE","FALSE","40,960","20,480","0","","C:\Windows\system32\drivers\monitor.sys","4,096"
"mouclass","Mouse Class Driver","Mouse Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","24,576","0","","C:\Windows\system32\drivers\mouclass.sys","4,096"
"mouhid","Mouse HID Driver","Mouse HID Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","20,480","0","","C:\Windows\system32\drivers\mouhid.sys","4,096"
"mountmgr","Mount Point Manager","Mount Point Manager","Kernel ","Boot","Running","OK","TRUE","FALSE","69,632","12,288","0","","C:\Windows\system32\drivers\mountmgr.sys","4,096"
"mpsdrv","Windows Defender Firewall Authorization Driver","Windows Defender Firewall Authorization Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","57,344","0","","C:\Windows\system32\drivers\mpsdrv.sys","4,096"
"MRxDAV","WebDav Client Redirector Driver","WebDav Client Redirector Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","114,688","28,672","0","","C:\Windows\system32\drivers\mrxdav.sys","4,096"
"mrxsmb","SMB MiniRedirector Wrapper and Engine","SMB MiniRedirector Wrapper and Engine","File System ","Manual","Running","OK","TRUE","FALSE","65,536","299,008","0","","C:\Windows\system32\DRIVERS\mrxsmb.sys","4,096"
"mrxsmb20","SMB 2.0 MiniRedirector","SMB 2.0 MiniRedirector","File System ","Manual","Running","OK","TRUE","FALSE","20,480","188,416","0","","C:\Windows\system32\DRIVERS\mrxsmb20.sys","4,096"
"MsBridge","Microsoft MAC 桥","Microsoft MAC 桥","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","90,112","0","","C:\Windows\system32\drivers\bridge.sys","4,096"
"Msfs","Msfs","Msfs","File System ","System","Running","OK","TRUE","FALSE","28,672","4,096","0","","C:\Windows\system32\drivers\Msfs.sys","4,096"
"msgpiowin32","用于按钮、停靠模式和笔记本电脑/平板电脑指示器的通用驱动程序","用于按钮、停靠模式和笔记本电脑/平板电脑指示器的通用驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","16,384","0","","C:\Windows\system32\drivers\msgpiowin32.sys","4,096"
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Pass-through HID to KMDF Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\mshidkmdf.sys","4,096"
"mshidumdf","Pass-through HID to UMDF Driver","Pass-through HID to UMDF Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\mshidumdf.sys","4,096"
"msisadrv","msisadrv","msisadrv","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\msisadrv.sys","4,096"
"MSKSSRV","Microsoft 流服务代理","Microsoft 流服务代理","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","8,192","0","","C:\Windows\system32\drivers\MSKSSRV.sys","4,096"
"MsLldp","Microsoft 链路层发现协议","Microsoft 链路层发现协议","Kernel ","Auto","Running","OK","TRUE","FALSE","16,384","24,576","0","","C:\Windows\system32\drivers\mslldp.sys","4,096"
"MSPCLOCK","Microsoft 流时钟代理","Microsoft 流时钟代理","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\MSPCLOCK.sys","4,096"
"MSPQM","Microsoft 流质量管理器代理","Microsoft 流质量管理器代理","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\MSPQM.sys","4,096"
"MsQuic","MsQuic","MsQuic","Kernel ","Manual","Running","OK","TRUE","FALSE","16,384","192,512","0","","C:\Windows\system32\drivers\msquic.sys","4,096"
"MsRPC","MsRPC","MsRPC","Kernel ","Manual","Stopped","OK","FALSE","FALSE","266,240","8,192","0","","C:\Windows\system32\drivers\MsRPC.sys","4,096"
"MsSecCore","Microsoft 安全性核心启动驱动程序","Microsoft 安全性核心启动驱动程序","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\msseccore.sys","4,096"
"MsSecFlt","Microsoft Security Events Component Minifilter","Microsoft Security Events Component Minifilter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","139,264","69,632","0","","C:\Windows\system32\drivers\mssecflt.sys","12,288"
"MsSecWfp","Microsoft Security WFP Callout Driver","Microsoft Security WFP Callout Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","8,192","0","","C:\Windows\system32\drivers\mssecwfp.sys","4,096"
"mssmbios","Microsoft System Management BIOS Driver","Microsoft System Management BIOS Driver","Kernel ","System","Running","OK","TRUE","FALSE","8,192","16,384","0","","C:\Windows\system32\drivers\mssmbios.sys","4,096"
"MSTEE","Microsoft 流 Tee/Sink-to-Sink 转换器","Microsoft 流 Tee/Sink-to-Sink 转换器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","4,096","0","","C:\Windows\system32\drivers\MSTEE.sys","4,096"
"MTConfig","Microsoft Input Configuration Driver","Microsoft Input Configuration Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\MTConfig.sys","4,096"
"Mup","Mup","Mup","File System ","Boot","Running","OK","TRUE","FALSE","65,536","16,384","0","","C:\Windows\system32\Drivers\mup.sys","4,096"
"mvumis","mvumis","mvumis","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20,480","0","2014/5/24 4:39:04","C:\Windows\system32\drivers\mvumis.sys","4,096"
"NativeWifiP","NativeWiFi 筛选器","NativeWiFi 筛选器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","589,824","0","","C:\Windows\system32\DRIVERS\nwifi.sys","4,096"
"ndfltr","NetworkDirect 服务","NetworkDirect 服务","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","118,784","0","2019/6/19 21:18:42","C:\Windows\system32\drivers\ndfltr.sys","4,096"
"NDIS","NDIS System Driver","NDIS System Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","286,720","815,104","0","","C:\Windows\system32\drivers\ndis.sys","20,480"
"NdisCap","Microsoft NDIS 捕获","Microsoft NDIS 捕获","Kernel ","System","Running","OK","TRUE","FALSE","0","28,672","0","","C:\Windows\system32\drivers\ndiscap.sys","4,096"
"NdisImPlatform","Microsoft 网络适配器多路传送器协议","Microsoft 网络适配器多路传送器协议","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","90,112","0","","C:\Windows\system32\drivers\NdisImPlatform.sys","4,096"
"NdisTapi","远程访问 NDIS TAPI 驱动程序","远程访问 NDIS TAPI 驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","12,288","0","","C:\Windows\system32\DRIVERS\ndistapi.sys","4,096"
"Ndisuio","NDIS Usermode I/O Protocol","NDIS Usermode I/O Protocol","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","36,864","0","","C:\Windows\system32\drivers\ndisuio.sys","4,096"
"NdisVirtualBus","Microsoft 虚拟网络适配器枚举器","Microsoft 虚拟网络适配器枚举器","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","8,192","0","","C:\Windows\system32\drivers\NdisVirtualBus.sys","4,096"
"NdisWan","远程访问 NDIS WAN 驱动程序","远程访问 NDIS WAN 驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","73,728","90,112","0","","C:\Windows\system32\drivers\ndiswan.sys","8,192"
"ndiswanlegacy","远程访问旧版 NDIS WAN 驱动程序","远程访问旧版 NDIS WAN 驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","73,728","90,112","0","","C:\Windows\system32\DRIVERS\ndiswan.sys","8,192"
"NDKPing","NDKPing Driver","NDKPing Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","32,768","0","","C:\Windows\system32\drivers\NDKPing.sys","4,096"
"ndproxy","NDIS Proxy Driver","NDIS Proxy Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","45,056","32,768","0","","C:\Windows\system32\DRIVERS\NDProxy.sys","4,096"
"Ndu","Windows Network Data Usage Monitoring Driver","Windows Network Data Usage Monitoring Driver","Kernel ","Auto","Running","OK","TRUE","FALSE","4,096","65,536","0","","C:\Windows\system32\drivers\Ndu.sys","4,096"
"NetAdapterCx","Network Adapter Wdf Class Extension Library","Network Adapter Wdf Class Extension Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","147,456","0","","C:\Windows\system32\drivers\NetAdapterCx.sys","4,096"
"NetBIOS","NetBIOS Interface","NetBIOS Interface","File System ","System","Running","OK","TRUE","FALSE","20,480","24,576","0","","C:\Windows\system32\drivers\netbios.sys","4,096"
"NetBT","NetBT","NetBT","Kernel ","System","Running","OK","TRUE","FALSE","90,112","200,704","0","","C:\Windows\system32\DRIVERS\netbt.sys","4,096"
"netvsc","netvsc","netvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","208,896","0","","C:\Windows\system32\drivers\netvsc.sys","4,096"
"Npfs","Npfs","Npfs","File System ","System","Running","OK","TRUE","FALSE","57,344","8,192","0","","C:\Windows\system32\drivers\Npfs.sys","4,096"
"npsvctrig","Named pipe service trigger provider","Named pipe service trigger provider","Kernel ","System","Running","OK","TRUE","FALSE","12,288","4,096","0","","C:\Windows\system32\drivers\npsvctrig.sys","4,096"
"nsiproxy","NSI Proxy Service Driver","NSI Proxy Service Driver","Kernel ","System","Running","OK","TRUE","FALSE","8,192","24,576","0","","C:\Windows\system32\drivers\nsiproxy.sys","4,096"
"Ntfs","Ntfs","Ntfs","File System ","Manual","Running","OK","TRUE","FALSE","1,871,872","417,792","0","","C:\Windows\system32\drivers\Ntfs.sys","16,384"
"Null","Null","Null","Kernel ","System","Running","OK","TRUE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\Null.sys","4,096"
"nvdimm","Microsoft NVDIMM 设备驱动程序","Microsoft NVDIMM 设备驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","49,152","0","","C:\Windows\system32\drivers\nvdimm.sys","4,096"
"nvraid","nvraid","nvraid","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","90,112","0","2014/4/22 2:28:42","C:\Windows\system32\drivers\nvraid.sys","8,192"
"nvstor","nvstor","nvstor","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","118,784","0","2014/4/22 2:34:03","C:\Windows\system32\drivers\nvstor.sys","4,096"
"Parport","Parallel port driver","Parallel port driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","81,920","0","","C:\Windows\system32\drivers\parport.sys","4,096"
"partmgr","Partition driver","Partition driver","Kernel ","Boot","Running","OK","TRUE","FALSE","53,248","69,632","0","","C:\Windows\system32\drivers\partmgr.sys","4,096"
"pci","PCI 总线驱动程序","PCI 总线驱动程序","Kernel ","Boot","Running","OK","TRUE","FALSE","200,704","159,744","0","","C:\Windows\system32\drivers\pci.sys","8,192"
"pciide","pciide","pciide","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\pciide.sys","4,096"
"pcmcia","pcmcia","pcmcia","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45,056","45,056","0","","C:\Windows\system32\drivers\pcmcia.sys","8,192"
"pcw","Performance Counters for Windows Driver","Performance Counters for Windows Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","32,768","4,096","0","","C:\Windows\system32\drivers\pcw.sys","4,096"
"pdc","pdc","pdc","Kernel ","Boot","Running","OK","TRUE","FALSE","86,016","24,576","0","","C:\Windows\system32\drivers\pdc.sys","8,192"
"PEAUTH","PEAUTH","PEAUTH","Kernel ","Auto","Running","OK","TRUE","FALSE","573,440","167,936","0","","C:\Windows\system32\drivers\peauth.sys","4,096"
"percsas2i","percsas2i","percsas2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","40,960","0","2016/3/15 8:50:11","C:\Windows\system32\drivers\percsas2i.sys","4,096"
"percsas3i","percsas3i","percsas3i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","49,152","0","2018/6/2 5:47:02","C:\Windows\system32\drivers\percsas3i.sys","4,096"
"PktMon","Packet Monitor Driver","Packet Monitor Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","45,056","0","","C:\Windows\system32\drivers\PktMon.sys","4,096"
"pmem","Microsoft 持久性内存磁盘驱动程序","Microsoft 持久性内存磁盘驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","45,056","0","","C:\Windows\system32\drivers\pmem.sys","4,096"
"PNPMEM","Microsoft Memory Module Driver","Microsoft Memory Module Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","4,096","0","","C:\Windows\system32\drivers\pnpmem.sys","4,096"
"portcfg","portcfg","portcfg","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","8,192","0","","C:\Windows\system32\drivers\portcfg.sys","4,096"
"PptpMiniport","WAN 微型端口(PPTP)","WAN 微型端口(PPTP)","Kernel ","Manual","Running","OK","TRUE","FALSE","61,440","28,672","0","","C:\Windows\system32\drivers\raspptp.sys","4,096"
"Processor","处理器驱动程序","处理器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","106,496","57,344","0","","C:\Windows\system32\drivers\processr.sys","8,192"
"Psched","QoS 数据包计划程序","QoS 数据包计划程序","Kernel ","System","Running","OK","TRUE","FALSE","20,480","65,536","0","","C:\Windows\system32\drivers\pacer.sys","4,096"
"QWAVEdrv","QWAVE driver","QWAVE driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","32,768","0","","C:\Windows\system32\drivers\qwavedrv.sys","4,096"
"Ramdisk","Windows RAM Disk Driver","Windows RAM Disk Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","8,192","0","","C:\Windows\system32\DRIVERS\ramdisk.sys","4,096"
"RasAcd","Remote Access Auto Connection Driver","Remote Access Auto Connection Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","","C:\Windows\system32\DRIVERS\rasacd.sys","4,096"
"RasAgileVpn","WAN 微型端口(IKEv2)","WAN 微型端口(IKEv2)","Kernel ","Manual","Running","OK","TRUE","FALSE","32,768","45,056","0","","C:\Windows\system32\drivers\AgileVpn.sys","4,096"
"Rasl2tp","WAN 微型端口(L2TP)","WAN 微型端口(L2TP)","Kernel ","Manual","Running","OK","TRUE","FALSE","73,728","20,480","0","","C:\Windows\system32\drivers\rasl2tp.sys","4,096"
"RasPppoe","远程访问 PPPOE 驱动程序","远程访问 PPPOE 驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","49,152","28,672","0","","C:\Windows\system32\DRIVERS\raspppoe.sys","4,096"
"RasSstp","WAN 微型端口(SSTP)","WAN 微型端口(SSTP)","Kernel ","Manual","Running","OK","TRUE","FALSE","49,152","24,576","0","","C:\Windows\system32\drivers\rassstp.sys","4,096"
"rdbss","Redirected Buffering Sub System","Redirected Buffering Sub System","File System ","System","Running","OK","TRUE","FALSE","217,088","143,360","0","","C:\Windows\system32\DRIVERS\rdbss.sys","8,192"
"rdpbus","远程桌面设备重定向程序总线驱动程序","远程桌面设备重定向程序总线驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","8,192","0","","C:\Windows\system32\drivers\rdpbus.sys","4,096"
"RDPDR","Remote Desktop Device Redirector Driver","Remote Desktop Device Redirector Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","106,496","24,576","0","","C:\Windows\system32\drivers\rdpdr.sys","4,096"
"RdpVideoMiniport","Remote Desktop Video Miniport Driver","Remote Desktop Video Miniport Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","4,096","0","","C:\Windows\system32\drivers\rdpvideominiport.sys","4,096"
"rdyboost","ReadyBoost","ReadyBoost","Kernel ","Boot","Running","OK","TRUE","FALSE","45,056","172,032","0","","C:\Windows\system32\drivers\rdyboost.sys","4,096"
"ReFS","ReFS","ReFS","File System ","Manual","Stopped","OK","FALSE","FALSE","565,248","1,060,864","0","","C:\Windows\system32\drivers\ReFS.sys","16,384"
"ReFSv1","ReFSv1","ReFSv1","File System ","Manual","Stopped","OK","FALSE","FALSE","356,352","417,792","0","","C:\Windows\system32\drivers\ReFSv1.sys","8,192"
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth Device (RFCOMM Protocol TDI)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","135,168","0","","C:\Windows\system32\drivers\rfcomm.sys","4,096"
"rhproxy","资源中心代理驱动程序","资源中心代理驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","49,152","45,056","0","","C:\Windows\system32\drivers\rhproxy.sys","4,096"
"rspndr","链路层拓扑发现响应程序","链路层拓扑发现响应程序","Kernel ","Auto","Running","OK","TRUE","FALSE","8,192","57,344","0","","C:\Windows\system32\drivers\rspndr.sys","4,096"
"s3cap","s3cap","s3cap","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\vms3cap.sys","4,096"
"sbp2port","SBP-2 传输/协议总线驱动程序","SBP-2 传输/协议总线驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","77,824","0","","C:\Windows\system32\drivers\sbp2port.sys","4,096"
"scfilter","Smart card PnP Class Filter Driver","Smart card PnP Class Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","28,672","0","","C:\Windows\system32\DRIVERS\scfilter.sys","4,096"
"scmbus","Microsoft 存储类内存总线驱动程序","Microsoft 存储类内存总线驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","61,440","0","","C:\Windows\system32\drivers\scmbus.sys","4,096"
"sdbus","sdbus","sdbus","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","204,800","0","","C:\Windows\system32\drivers\sdbus.sys","8,192"
"SDFRd","SDF 反射器","SDF 反射器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","4,096","0","","C:\Windows\system32\drivers\SDFRd.sys","4,096"
"sdstor","SD 存储端口驱动程序","SD 存储端口驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","49,152","0","","C:\Windows\system32\drivers\sdstor.sys","4,096"
"SerCx","Serial UART Support Library","Serial UART Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","57,344","0","","C:\Windows\system32\drivers\SerCx.sys","4,096"
"SerCx2","Serial UART Support Library","Serial UART Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","106,496","0","","C:\Windows\system32\drivers\SerCx2.sys","4,096"
"Serenum","Serenum Filter Driver","Serenum Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","8,192","0","","C:\Windows\system32\drivers\serenum.sys","4,096"
"Serial","串行端口驱动程序","串行端口驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","40,960","20,480","0","","C:\Windows\system32\drivers\serial.sys","4,096"
"sermouse","串行鼠标驱动程序","串行鼠标驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","8,192","0","","C:\Windows\system32\drivers\sermouse.sys","4,096"
"sfloppy","大容量软盘驱动器","大容量软盘驱动器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","4,096","0","","C:\Windows\system32\drivers\sfloppy.sys","4,096"
"SiSRaid2","SiSRaid2","SiSRaid2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","32,768","0","2008/9/25 2:28:20","C:\Windows\system32\drivers\SiSRaid2.sys","4,096"
"SiSRaid4","SiSRaid4","SiSRaid4","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","69,632","0","2008/10/2 5:56:04","C:\Windows\system32\drivers\sisraid4.sys","4,096"
"SmartSAMD","SmartSAMD","SmartSAMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","188,416","0","2019/2/22 1:54:44","C:\Windows\system32\drivers\SmartSAMD.sys","4,096"
"smbdirect","smbdirect","smbdirect","File System ","Manual","Stopped","OK","FALSE","FALSE","8,192","77,824","0","","C:\Windows\system32\DRIVERS\smbdirect.sys","4,096"
"spaceparser","Space Parser","Space Parser","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","","C:\Windows\system32\drivers\spaceparser.sys","4,096"
"spaceport","存储空间驱动程序","存储空间驱动程序","Kernel ","Boot","Running","OK","TRUE","FALSE","196,608","274,432","0","","C:\Windows\system32\drivers\spaceport.sys","4,096"
"SpatialGraphFilter","Holographic Spatial Graph Filter","Holographic Spatial Graph Filter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","53,248","0","","C:\Windows\system32\drivers\SpatialGraphFilter.sys","4,096"
"SpbCx","Simple Peripheral Bus Support Library","Simple Peripheral Bus Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","53,248","0","","C:\Windows\system32\drivers\SpbCx.sys","4,096"
