"模块名","显示名称","描述","驱动程序类型","启动模式","状态","状态","接受停止","接受暂停","分页缓冲池(字节)","代码(字节)","BSS(字节)","链接日期","路径","Init(字节)"
"BasicRender","BasicRender","BasicRender","Kernel ","System","Running","OK","TRUE","FALSE","4,096","32,768","0","","C:\Windows\system32\DriverStore\FileRepository\basicrender.inf_amd64_eebb5a8467eb88ec\BasicRender.sys","4,096"
"bcmfn2","bcmfn2 Service","bcmfn2 Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","2016/11/1 10:09:15","C:\Windows\system32\drivers\bcmfn2.sys","4,096"
"Beep","Beep","Beep","Kernel ","System","Running","OK","TRUE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\Beep.sys","4,096"
"bindflt","Windows Bind Filter Driver","Windows Bind Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","90,112","20,480","0","","C:\Windows\system32\drivers\bindflt.sys","4,096"
"bowser","浏览器","浏览器","File System ","Manual","Running","OK","TRUE","FALSE","73,728","20,480","0","","C:\Windows\system32\DRIVERS\bowser.sys","4,096"
"BthA2dp","Microsoft Bluetooth A2dp driver","Microsoft Bluetooth A2dp driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","192,512","0","","C:\Windows\system32\drivers\BthA2dp.sys","4,096"
"BthEnum","蓝牙枚举器服务","蓝牙枚举器服务","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","28,672","0","","C:\Windows\system32\drivers\BthEnum.sys","4,096"
"BthHFEnum","Microsoft Bluetooth 免提配置文件驱动程序","Microsoft Bluetooth 免提配置文件驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","86,016","0","","C:\Windows\system32\drivers\bthhfenum.sys","4,096"
"BthLEEnum","蓝牙低能耗驱动程序","蓝牙低能耗驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","57,344","24,576","0","","C:\Windows\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","4,096"
"BthMini","蓝牙无线收发器驱动程序","蓝牙无线收发器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","20,480","0","","C:\Windows\system32\drivers\BTHMINI.sys","4,096"
"BTHMODEM","蓝牙调制解调器通信驱动程序","蓝牙调制解调器通信驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","53,248","0","","C:\Windows\system32\drivers\bthmodem.sys","4,096"
"BTHPORT","蓝牙端口驱动程序","蓝牙端口驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","303,104","987,136","0","","C:\Windows\system32\drivers\BTHport.sys","8,192"
"BTHUSB","蓝牙无线电收发器 USB 驱动程序","蓝牙无线电收发器 USB 驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","61,440","0","","C:\Windows\system32\drivers\BTHUSB.sys","4,096"
"bttflt","Microsoft Hyper-V VHDPMEM BTT 筛选器","Microsoft Hyper-V VHDPMEM BTT 筛选器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","16,384","0","","C:\Windows\system32\drivers\bttflt.sys","4,096"
"buttonconverter","针对便携式设备控制装置的服务","针对便携式设备控制装置的服务","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","24,576","0","","C:\Windows\system32\drivers\buttonconverter.sys","4,096"
"CAD","充电均衡驱动程序","充电均衡驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","8,192","0","","C:\Windows\system32\drivers\CAD.sys","4,096"
"cdfs","CD/DVD File System Reader","CD/DVD File System Reader","File System ","Disabled","Stopped","OK","FALSE","FALSE","69,632","12,288","0","","C:\Windows\system32\DRIVERS\cdfs.sys","4,096"
"cdrom","CD-ROM Driver","CD-ROM Driver","Kernel ","System","Running","OK","TRUE","FALSE","81,920","65,536","0","","C:\Windows\system32\drivers\cdrom.sys","4,096"
"cht4iscsi","cht4iscsi","cht4iscsi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","278,528","0","2019/2/5 21:51:31","C:\Windows\system32\drivers\cht4sx64.sys","4,096"
"cht4vbd","Chelsio 虚拟总线驱动程序","Chelsio 虚拟总线驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","1,433,600","208,896","0","2019/2/5 21:47:51","C:\Windows\system32\drivers\cht4vx64.sys","4,096"
"CimFS","CimFS","CimFS","File System ","System","Running","OK","TRUE","FALSE","8,192","65,536","0","","C:\Windows\system32\drivers\CimFS.sys","4,096"
"circlass","Consumer IR Devices","Consumer IR Devices","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","36,864","0","","C:\Windows\system32\drivers\circlass.sys","4,096"
"CldFlt","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","327,680","106,496","0","","C:\Windows\system32\drivers\cldflt.sys","4,096"
"CLFS","Common Log (CLFS)","Common Log (CLFS)","Kernel ","Boot","Running","OK","TRUE","FALSE","262,144","77,824","0","","C:\Windows\system32\drivers\CLFS.sys","4,096"
"CmBatt","Microsoft ACPI 控制方法电池驱动程序","Microsoft ACPI 控制方法电池驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","20,480","4,096","0","","C:\Windows\system32\drivers\CmBatt.sys","4,096"
"CNG","CNG","CNG","Kernel ","Boot","Running","OK","TRUE","FALSE","0","565,248","0","","C:\Windows\system32\Drivers\cng.sys","4,096"
"cnghwassist","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8,192","16,384","0","","C:\Windows\system32\DRIVERS\cnghwassist.sys","4,096"
"CompositeBus","复合总线枚举器驱动程序","复合总线枚举器驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","24,576","8,192","0","","C:\Windows\system32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys","4,096"
"condrv","Console Driver","Console Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","28,672","4,096","0","","C:\Windows\system32\drivers\condrv.sys","4,096"
"CSC","Offline Files Driver","Offline Files Driver","Kernel ","System","Running","OK","TRUE","FALSE","303,104","184,320","0","","C:\Windows\system32\drivers\csc.sys","12,288"
"dam","Desktop Activity Moderator Driver","Desktop Activity Moderator Driver","Kernel ","System","Stopped","OK","FALSE","FALSE","49,152","4,096","0","","C:\Windows\system32\drivers\dam.sys","4,096"
"Dfsc","DFS Namespace Client Driver","DFS Namespace Client Driver","File System ","System","Running","OK","TRUE","FALSE","94,208","24,576","0","","C:\Windows\system32\Drivers\dfsc.sys","4,096"
"disk","磁盘驱动程序","磁盘驱动程序","Kernel ","Boot","Running","OK","TRUE","FALSE","36,864","20,480","0","","C:\Windows\system32\drivers\disk.sys","4,096"
"dmvsc","dmvsc","dmvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","24,576","0","","C:\Windows\system32\drivers\dmvsc.sys","4,096"
"drmkaud","Microsoft Trusted Audio Drivers","Microsoft Trusted Audio Drivers","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\drmkaud.sys","4,096"
"DXGKrnl","LDDM Graphics Subsystem","LDDM Graphics Subsystem","Kernel ","System","Running","OK","TRUE","FALSE","2,277,376","458,752","0","","C:\Windows\system32\drivers\dxgkrnl.sys","8,192"
"e1i65x64","Intel(R) PRO/1000 PCI Express Network Connection Driver I","Intel(R) PRO/1000 PCI Express Network Connection Driver I","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","450,560","0","2018/6/12 2:01:06","C:\Windows\system32\drivers\e1i65x64.sys","8,192"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","QLogic 10 Gigabit Ethernet Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","1,159,168","0","2016/5/25 15:01:05","C:\Windows\system32\drivers\evbda.sys","4,096"
"EhStorClass","Enhanced Storage Filter Driver","Enhanced Storage Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","20,480","49,152","0","","C:\Windows\system32\drivers\EhStorClass.sys","4,096"
"EhStorTcgDrv","支持 IEEE 1667 和 TCG 协议的 Microsoft 存储设备驱动程序","支持 IEEE 1667 和 TCG 协议的 Microsoft 存储设备驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","73,728","0","","C:\Windows\system32\drivers\EhStorTcgDrv.sys","4,096"
"ErrDev","Microsoft Hardware Error Device Driver","Microsoft Hardware Error Device Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\errdev.sys","4,096"
"exfat","exFAT File System Driver","exFAT File System Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","229,376","90,112","0","","C:\Windows\system32\drivers\exfat.sys","4,096"
"fastfat","FAT12/16/32 File System Driver","FAT12/16/32 File System Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","262,144","65,536","0","","C:\Windows\system32\drivers\fastfat.sys","4,096"
"fdc","软盘控制器驱动程序","软盘控制器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","20,480","0","","C:\Windows\system32\drivers\fdc.sys","4,096"
"FileCrypt","FileCrypt","FileCrypt","File System ","System","Running","OK","TRUE","FALSE","28,672","12,288","0","","C:\Windows\system32\drivers\filecrypt.sys","4,096"
"FileInfo","File Information FS MiniFilter","File Information FS MiniFilter","File System ","Boot","Running","OK","TRUE","FALSE","45,056","12,288","0","","C:\Windows\system32\drivers\fileinfo.sys","4,096"
"Filetrace","Filetrace","Filetrace","File System ","Manual","Stopped","OK","FALSE","FALSE","12,288","12,288","0","","C:\Windows\system32\drivers\filetrace.sys","4,096"
"flpydisk","软盘驱动程序","软盘驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","8,192","0","","C:\Windows\system32\drivers\flpydisk.sys","4,096"
"FltMgr","FltMgr","FltMgr","File System ","Boot","Running","OK","TRUE","FALSE","184,320","106,496","0","","C:\Windows\system32\drivers\fltmgr.sys","8,192"
"FsDepends","File System Dependency Minifilter","File System Dependency Minifilter","File System ","Manual","Stopped","OK","FALSE","FALSE","40,960","8,192","0","","C:\Windows\system32\drivers\FsDepends.sys","4,096"
"fvevol","BitLocker Drive Encryption Filter Driver","BitLocker Drive Encryption Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","512,000","139,264","0","","C:\Windows\system32\DRIVERS\fvevol.sys","12,288"
"gencounter","Microsoft Hyper-V 生成计数器","Microsoft Hyper-V 生成计数器","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\vmgencounter.sys","4,096"
"genericusbfn","通用 USB 函数类","通用 USB 函数类","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","","C:\Windows\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_53931f0ae21d6d2c\genericusbfn.sys","4,096"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Microsoft GPIO Class Extension Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","49,152","98,304","0","","C:\Windows\system32\Drivers\msgpioclx.sys","4,096"
"GpuEnergyDrv","GPU Energy Driver","GPU Energy Driver","Kernel ","System","Running","OK","TRUE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\gpuenergydrv.sys","4,096"
"HdAudAddService","用于 High Definition Audio 服务的 Microsoft 1.1 UAA 函数驱动程序","用于 High Definition Audio 服务的 Microsoft 1.1 UAA 函数驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","315,392","32,768","0","","C:\Windows\system32\drivers\HdAudio.sys","4,096"
"HDAudBus","用于 High Definition Audio 的 Microsoft UAA 总线驱动程序","用于 High Definition Audio 的 Microsoft UAA 总线驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","36,864","69,632","0","","C:\Windows\system32\drivers\HDAudBus.sys","4,096"
"HidBatt","HID UPS 电池驱动程序","HID UPS 电池驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20,480","0","","C:\Windows\system32\drivers\HidBatt.sys","4,096"
"HidBth","Microsoft Bluetooth HID Miniport","Microsoft Bluetooth HID Miniport","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","49,152","0","","C:\Windows\system32\drivers\hidbth.sys","4,096"
"hidi2c","Microsoft I2C HID 微型端口驱动程序","Microsoft I2C HID 微型端口驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","36,864","0","","C:\Windows\system32\drivers\hidi2c.sys","4,096"
"hidinterrupt","通过中断实施的 HID 按钮的通用驱动程序","通过中断实施的 HID 按钮的通用驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","20,480","0","","C:\Windows\system32\drivers\hidinterrupt.sys","4,096"
"HidIr","Microsoft Infrared HID Driver","Microsoft Infrared HID Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","24,576","0","","C:\Windows\system32\drivers\hidir.sys","4,096"
"hidspi","Microsoft SPI HID 微型端口驱动程序","Microsoft SPI HID 微型端口驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","77,824","0","","C:\Windows\system32\drivers\hidspi.sys","4,096"
"HidSpiCx","HidSpi KMDF Class Extension","HidSpi KMDF Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","69,632","0","","C:\Windows\system32\drivers\HidSpiCx.sys","4,096"
"HidUsb","Microsoft HID Class Driver","Microsoft HID Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","24,576","0","","C:\Windows\system32\drivers\hidusb.sys","4,096"
"HpSAMD","HpSAMD","HpSAMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","45,056","0","2013/3/27 5:36:54","C:\Windows\system32\drivers\HpSAMD.sys","4,096"
"HTTP","HTTP Service","HTTP Service","Kernel ","Manual","Running","OK","TRUE","FALSE","847,872","372,736","0","","C:\Windows\system32\drivers\HTTP.sys","12,288"
"hvcrash","hvcrash","hvcrash","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8,192","12,288","0","","C:\Windows\system32\drivers\hvcrash.sys","4,096"
"hvservice","Hypervisor/Virtual Machine Support Driver","Hypervisor/Virtual Machine Support Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24,576","8,192","0","","C:\Windows\system32\drivers\hvservice.sys","4,096"
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Microsoft Hardware Notifications Class Extension Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","8,192","0","","C:\Windows\system32\Drivers\mshwnclx.sys","4,096"
"hwpolicy","Hardware Policy Driver","Hardware Policy Driver","Kernel ","Boot","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\hwpolicy.sys","4,096"
"hyperkbd","hyperkbd","hyperkbd","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\hyperkbd.sys","4,096"
"HyperVideo","HyperVideo","HyperVideo","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","8,192","0","","C:\Windows\system32\drivers\HyperVideo.sys","4,096"
"i8042prt","PS/2 键盘和鼠标端口驱动程序","PS/2 键盘和鼠标端口驱动程序","Kernel ","Manual","Running","OK","TRUE","FALSE","36,864","49,152","0","","C:\Windows\system32\drivers\i8042prt.sys","4,096"
"iagpio","Intel 串行 IO GPIO 控制器驱动程序","Intel 串行 IO GPIO 控制器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","24,576","0","2018/7/23 17:04:46","C:\Windows\system32\drivers\iagpio.sys","4,096"
